David R. Green,"May 7, 2019",The best HR and People Analytics articles of April 2019,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-april-2019-david-green/
David R. Green,"April 23, 2019",Coming soon: Digital HR Leaders Podcast,https://www.linkedin.com/pulse/coming-soon-digital-hr-leaders-podcast-david-green/
David R. Green,"April 15, 2019",Reflections on the Wharton People Analytics Conference 2019,https://www.linkedin.com/pulse/reflections-wharton-people-analytics-conference-2019-david-green/
David R. Green,"April 4, 2019",The best HR and People Analytics articles of March 2019,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-march-2019-david-green/
David R. Green,"March 4, 2019",The best HR and People Analytics articles of February 2019,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-february-2019-david-green/
David R. Green,"February 14, 2019",Four Strategic Imperatives for People Analytics,https://www.linkedin.com/pulse/four-strategic-imperatives-people-analytics-david-green/
David R. Green,"February 7, 2019",The best HR & People Analytics articles of January 2019,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-january-2019-david-green/
David R. Green,"January 22, 2019",The rise of people analytics,https://www.linkedin.com/pulse/rise-people-analytics-david-green/
David R. Green,"January 7, 2019",Top 40 HR & People Analytics articles of 2018,https://www.linkedin.com/pulse/top-40-hr-people-analytics-articles-2018-david-green/
David R. Green,"December 31, 2018",2018: A Year in Review,https://www.linkedin.com/pulse/2018-year-review-david-green/
David R. Green,"December 20, 2018",The best HR & People Analytics articles of December 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-december-2018-david-green/
David R. Green,"December 13, 2018",The Human Touch: 10 Predictions for HR in 2019,https://www.linkedin.com/pulse/human-touch-10-predictions-hr-2019-david-green/
David R. Green,"December 4, 2018",The best HR & People Analytics articles of November 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-november-2018-david-green/
David R. Green,"November 5, 2018",The best HR & People Analytics articles of October 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-october-2018-david-green/
David R. Green,"October 18, 2018",New LinkedIn and Humu products show surge in people analytics,https://www.linkedin.com/pulse/new-linkedin-humu-products-show-surge-people-analytics-david-green/
David R. Green,"October 11, 2018",The best HR & People Analytics articles of September 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-september-2018-david-green/
David R. Green,"September 11, 2018",The best HR & People Analytics articles: Summer 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-summer-2018-david-green/
David R. Green,"August 2, 2018",Leadership and People Analytics - How is it different in the East?,https://www.linkedin.com/pulse/leadership-people-analytics-how-different-east-david-green/
David R. Green,"July 26, 2018",How to create career paths for people analytics professionals,https://www.linkedin.com/pulse/how-create-career-paths-people-analytics-david-green/
David R. Green,"July 5, 2018",The best HR & People Analytics articles of June 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-june-2018-david-green/
David R. Green,"June 7, 2018",The best HR & People Analytics articles of May 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-may-2018-david-green/
David R. Green,"June 4, 2018",The Dos and Don'ts of Continuous Listening,https://www.linkedin.com/pulse/dos-donts-continuous-listening-david-green/
David R. Green,"May 23, 2018",The role of Organisational Network Analysis in People Analytics,https://www.linkedin.com/pulse/role-organisational-network-analysis-people-analytics-david-green/
David R. Green,"May 10, 2018",People Analytics in Asia Pacific: Why is it different?,https://www.linkedin.com/pulse/people-analytics-asia-pacific-why-different-david-green/
David R. Green,"May 3, 2018",The best HR & People Analytics articles of April 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-april-2018-david-green/
David R. Green,"April 25, 2018",Three reasons I've joined Insight222 as a board advisor,https://www.linkedin.com/pulse/three-reasons-ive-joined-insight222-board-advisor-david-green/
David R. Green,"April 10, 2018",Why I'm leaving IBM and my next move...,https://www.linkedin.com/pulse/why-im-leaving-ibm-my-next-move-david-green/
David R. Green,"April 5, 2018",The best HR & People Analytics articles of March 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-march-2018-david-green/
David R. Green,"March 19, 2018",Don't forget the 'H' in HR: Ethics & People Analytics,https://www.linkedin.com/pulse/dont-forget-h-hr-ethics-people-analytics-david-green/
David R. Green,"March 5, 2018",The best HR & People Analytics articles of February 2018,https://www.linkedin.com/pulse/best-hr-people-analytics-articles-february-2018-david-green/
David R. Green,"February 25, 2018",The role of the People Analytics leader - Part 2: Creating organisational culture & shaping the future,https://www.linkedin.com/pulse/role-people-analytics-leader-part-2-creating-culture-david-green/
David R. Green,"February 14, 2018","Analytics of the people, by the people, for the people",https://www.linkedin.com/pulse/analytics-people-david-green/
David R. Green,"February 6, 2018",Top 10 HR & People Analytics articles of January 2018,https://www.linkedin.com/pulse/top-10-hr-people-analytics-articles-january-2018-david-green/
David R. Green,"January 31, 2018",People First: What are the key HR trends for 2018?,https://www.linkedin.com/pulse/people-first-what-key-hr-trends-2018-david-green/
David R. Green,"January 22, 2018",The role of the People Analytics leader - Part 1: Building Capability,https://www.linkedin.com/pulse/role-people-analytics-leader-part-1-building-capability-david-green/
David R. Green,"January 15, 2018",Top 40 HR & People Analytics articles of 2017,https://www.linkedin.com/pulse/top-40-hr-people-analytics-articles-2017-david-green/
David R. Green,"January 9, 2018",75+ Conferences on People Analytics & Data-Driven HR to attend in 2018,https://www.linkedin.com/pulse/75-conferences-people-analytics-data-driven-hr-attend-david-green/
David R. Green,"December 18, 2017",The 20 best People Analytics & Future of Work articles: Nov & Dec 2017,https://www.linkedin.com/pulse/20-best-people-analytics-future-work-articles-nov-dec-david-green/
David R. Green,"December 11, 2017",The role of People Analytics in recruiting,https://www.linkedin.com/pulse/role-people-analytics-recruiting-david-green/
David R. Green,"November 6, 2017",The 20 best People Analytics articles: Sept & Oct 2017,https://www.linkedin.com/pulse/20-best-people-analytics-articles-sept-oct-2017-david-green/
David R. Green,"September 25, 2017",The rise of People Analytics & its impact on HR & the Future of Work,https://www.linkedin.com/pulse/rise-people-analytics-its-impact-hr-future-work-david-green/
David R. Green,"September 5, 2017",The 20 best HR Analytics articles: Jul & Aug 2017,https://www.linkedin.com/pulse/20-best-hr-analytics-articles-jul-aug-2017-david-green/
David R. Green,"August 31, 2017",6 reasons why People Analytics will be central to the future of HR,https://www.linkedin.com/pulse/6-reasons-why-people-analytics-central-future-hr-david-green/
David R. Green,"July 3, 2017",The 20 best HR Analytics articles: May & Jun 2017,https://www.linkedin.com/pulse/20-best-hr-analytics-articles-may-jun-2017-david-green/
David R. Green,"May 9, 2017",The 20 best HR Analytics articles: Mar & Apr 2017,https://www.linkedin.com/pulse/20-best-hr-analytics-articles-mar-apr-2017-david-green/
David R. Green,"May 3, 2017",Key takeaways from People Analytics World,https://www.linkedin.com/pulse/key-takeways-from-people-analytics-world-david-green/
David R. Green,"April 5, 2017",Key takeaways from Wharton People Analytics conference 2017,https://www.linkedin.com/pulse/key-takeaways-from-wharton-people-analytics-conference-david-green/
David R. Green,"March 14, 2017","The role of People Analytics, Employee Experience and AI in the Workplace",https://www.linkedin.com/pulse/role-people-analytics-employee-experience-ai-workplace-david-green/
David R. Green,"March 6, 2017",Top 20 HR Analytics articles: Jan & Feb 2017,https://www.linkedin.com/pulse/top-20-hr-analytics-articles-jan-feb-2017-david-green/
David R. Green,"February 13, 2017",Laszlo Bock on the future of HR & his new venture,https://www.linkedin.com/pulse/laszlo-bock-future-hr-his-new-venture-david-green/
David R. Green,"January 23, 2017",The 30 best HR Analytics articles of 2016,https://www.linkedin.com/pulse/30-best-hr-analytics-articles-2016-david-green/
David R. Green,"January 16, 2017",What constitutes best practice in people analytics?,https://www.linkedin.com/pulse/what-constitutes-best-practice-people-analytics-david-green/
David R. Green,"December 20, 2016",The 40 best HR Analytics articles of H2 2016,https://www.linkedin.com/pulse/40-best-hr-analytics-articles-h2-2016-david-green/
David R. Green,"December 12, 2016",40 People Analytics Case Studies - Part 4,https://www.linkedin.com/pulse/20-people-analytics-case-studies-part-ii-david-green/
David R. Green,"December 7, 2016",40 People Analytics Case Studies - Part 3,https://www.linkedin.com/pulse/20-more-people-analytics-case-studies-part-i-david-green/
David R. Green,"October 24, 2016",The HR Analytics journey at Shell,https://www.linkedin.com/pulse/hr-analytics-journey-shell-david-green/
David R. Green,"October 20, 2016",The HR Analytics journey at ABN AMRO,https://www.linkedin.com/pulse/people-analytics-interviews-4-patrick-coolen-abn-amro-david-green/
David R. Green,"October 17, 2016",The HR Analytics journey at Microsoft,https://www.linkedin.com/pulse/people-analytics-interviews-3-dawn-klinghoffer-microsoft-green/
David R. Green,"September 26, 2016",The People Analytics Interviews: #2 - Mark Berry,https://www.linkedin.com/pulse/people-analytics-interviews-2-mark-berry-david-green/
David R. Green,"September 19, 2016","The People Analytics Interviews: #1 Anshul Sheopuri, IBM",https://www.linkedin.com/pulse/people-analytics-interviews-1-anshul-sheopuri-ibm-david-green/
David R. Green,"August 8, 2016",40 People Analytics Case Studies - Part 2,https://www.linkedin.com/pulse/20-people-analytics-case-studies-part-2-david-green/
David R. Green,"August 1, 2016",40 People Analytics Case Studies - Part 1,https://www.linkedin.com/pulse/20-people-analytics-case-studies-part-1-david-green/
David R. Green,"July 25, 2016",15 tips to help HR get started with People Analytics,https://www.linkedin.com/pulse/15-tips-help-hr-get-started-people-analytics-david-green/
David R. Green,"July 20, 2016",24 Conferences on People Analytics to attend in 2016/17,https://www.linkedin.com/pulse/22-conferences-people-analytics-attend-201617-david-green/
David R. Green,"July 11, 2016",The 27 best HR Analytics articles of H1 2016,https://www.linkedin.com/pulse/27-best-hr-analytics-articles-h1-2016-david-green/
David R. Green,"June 20, 2016",The future of HR is Open Source,https://www.linkedin.com/pulse/future-hr-open-source-david-green/
David R. Green,"May 16, 2016",Relegating Cost Per Hire to its rightful place,https://www.linkedin.com/pulse/relegating-cost-per-hire-its-rightful-place-david-green/
David R. Green,"May 3, 2016",Key takeaways from People Analytics 2016 (#PA16LON),https://www.linkedin.com/pulse/key-takeaways-from-people-analytics-2016-david-green/
David R. Green,"April 11, 2016",The Oscars for People Analytics,https://www.linkedin.com/pulse/oscars-people-analytics-david-green/
David R. Green,"March 21, 2016",A Note To Recruiting Leaders: Reporting Is NOT Analytics,https://www.linkedin.com/pulse/note-recruiting-leaders-reporting-analytics-david-green/
David R. Green,"February 9, 2016",People Analytics goes into orbit – 10 takeaways from #PAFOW 16,https://www.linkedin.com/pulse/people-analytics-goes-orbit-10-takeaways-from-pafow-16-david-green/
David R. Green,"January 26, 2016",Seven lessons HR can learn from David Bowie,https://www.linkedin.com/pulse/seven-lessons-hr-can-learn-from-david-bowie-david-green/
David R. Green,"January 21, 2016",Winning a LinkedIn Power Profile - How I (think) I did it...,https://www.linkedin.com/pulse/winning-linkedin-power-profile-how-i-think-did-david-green/
David R. Green,"January 12, 2016",The 21 best HR Analytics articles of 2015,https://www.linkedin.com/pulse/21-best-hr-analytics-articles-2015-david-green/
David R. Green,"November 11, 2015",The Absurdity of Cost per Hire in Recruiting,https://www.linkedin.com/pulse/absurdity-cost-per-hire-recruiting-david-green/
David R. Green,"October 22, 2015",10 tips to get started with People Analytics,https://www.linkedin.com/pulse/10-tips-get-started-people-analytics-david-green/
David R. Green,"October 14, 2015",What's new in HR Analytics? #4 | #Recruiting edition,https://www.linkedin.com/pulse/whats-new-hr-analytics-4-recruiting-edition-david-green/
David R. Green,"September 9, 2015",What's new in HR Analytics? #3,https://www.linkedin.com/pulse/whats-new-hr-analytics-3-david-green/
David R. Green,"June 30, 2015",What's new in HR Analytics? #2,https://www.linkedin.com/pulse/whats-new-hr-analytics-2-david-green/
David R. Green,"June 23, 2015",What's new in HR Analytics? #1,https://www.linkedin.com/pulse/whats-new-hr-analytics-1-david-green/
David R. Green,"June 8, 2015","In recruiting, how important is Cost Per Hire?",https://www.linkedin.com/pulse/recruiting-how-important-cost-per-hire-david-green/
David R. Green,"May 13, 2015",7 HR Analytics firms to watch,https://www.linkedin.com/pulse/7-hr-analytics-firms-watch-david-green/
David R. Green,"April 28, 2015",Key Takeaways from #PeopleAnalytics15,https://www.linkedin.com/pulse/key-takeaways-from-peopleanalytics15-david-green/
David R. Green,"March 31, 2015",6 Key takeaways from HR Tech Europe 2015,https://www.linkedin.com/pulse/6-key-takeaways-from-hr-tech-europe-2015-david-green/
David R. Green,"February 24, 2015",Robots vs Humans: where is the Future of Work heading?,https://www.linkedin.com/pulse/robots-vs-humans-where-future-work-heading-david-green/
David R. Green,"February 17, 2015",5 Things to look forward to at #HRAnalyticsLDN,https://www.linkedin.com/pulse/5-things-im-looking-forward-hranalyticsldn-david-green/
David R. Green,"February 10, 2015",HR Analytics - The New Gold Rush,https://www.linkedin.com/pulse/hr-analytics-new-gold-rush-david-green/
David R. Green,"January 13, 2015",The 20 best HR Analytics articles of 2014,https://www.linkedin.com/pulse/20-best-hr-analytics-articles-2014-david-green/
David R. Green,"December 18, 2014",10 Predictions for HR & Recruiting in 2015 - Part 2,https://www.linkedin.com/pulse/10-predictions-hr-recruiting-david-green-1/
David R. Green,"December 17, 2014",10 Predictions for HR & Recruiting in 2015 - Part 1,https://www.linkedin.com/pulse/10-predictions-hr-recruiting-david-green/
David R. Green,"December 4, 2014","Cost Per Hire: ""It's the wrong recruiting metric, Gromit""",https://www.linkedin.com/pulse/20141204082733-12091643-time-to-cure-cost-per-hire-myopia/
David R. Green,"November 12, 2014","Never mind the Bureaucracy, here’s punk rock org structures...",https://www.linkedin.com/pulse/20141112080553-12091643-never-mind-the-bureaucracy-here-s-punk-rock-org-structures/
David R. Green,"October 27, 2014",Vive la Révolution: Key Takeaways from HR Tech Europe 2014,https://www.linkedin.com/pulse/20141027092304-12091643-key-takeaways-from-hr-tech-europe-2014/
David R. Green,"October 20, 2014",5 Things I'm Looking Forward To At #HRTechEurope,https://www.linkedin.com/pulse/20141020070020-12091643-5-things-i-m-looking-forward-to-at-hrtecheurope/
David R. Green,"October 15, 2014",Top 72 HR Analytics Influencers - Part 4,https://www.linkedin.com/pulse/20141015072410-12091643-top-71-hr-analytics-influencers-part-4/
David R. Green,"October 7, 2014",Top 72 HR Analytics Influencers - Part 3,https://www.linkedin.com/pulse/20141007070413-12091643-top-50-hr-analytics-influencers-part-3/
David R. Green,"September 30, 2014",Top 72 HR Analytics Influencers - Part 2,https://www.linkedin.com/pulse/20140930064652-12091643-top-50-hr-analytics-influencers-part-2/
David R. Green,"September 25, 2014",Top 72 HR Analytics Influencers - Part 1,https://www.linkedin.com/pulse/20140925070104-12091643-top-50-hr-analytics-influencers-part-1/
David R. Green,"September 9, 2014",5 key takeaways from #HRTechEurope 2.013,https://www.linkedin.com/pulse/20140909062142-12091643-5-key-takeaways-from-hrtecheurope-2-013/
David R. Green,"August 25, 2014",Talent Economics - HR's chance to be the hero?,https://www.linkedin.com/pulse/20140825165054-12091643-talent-economics-hr-s-chance-to-be-the-hero/
David R. Green,"August 20, 2014",How can HR & Talent drive your company's business transformation strategy?,https://www.linkedin.com/pulse/20140820052309-12091643-the-e-mc2-of-talent-centricity/
David R. Green,"August 12, 2014",Is HR ready for the Big Data & Analytics revolution?,https://www.linkedin.com/pulse/20140812063504-12091643-is-hr-ready-for-the-big-data-analytics-revolution/
David R. Green,"July 31, 2014",Ten Predictions for Talent Acquisition in 2014 - Half-Term report (2 of 2),https://www.linkedin.com/pulse/20140731073723-12091643-ten-predictions-for-talent-acquisition-in-2014-half-term-report-2-of-2/
David R. Green,"July 30, 2014",Ten predictions for Talent Acquisition in 2014 – Half-Term report: (1 of 2),https://www.linkedin.com/pulse/20140730061120-12091643-ten-predictions-for-talent-acquisition-in-2014-half-term-report-1-of-2/
David R. Green,"July 11, 2014",Getting funky with HR Analytics - an HR Director's Tale (Part 2),https://www.linkedin.com/pulse/20140711133209-12091643-getting-funky-with-hr-analytics-an-hr-director-s-tale-part-2/
David R. Green,"July 4, 2014",The War for Talent - after 17 years is it time for a new idiom?,https://www.linkedin.com/pulse/20140704062129-12091643-the-war-for-talent-after-17-years-is-it-time-for-a-new-idiom/
David R. Green,"June 16, 2014",Six takeways from the HR Analytics Innovation Summit,https://www.linkedin.com/pulse/20140616150124-12091643-six-takeways-from-the-hr-analytics-innovation-summit/
David R. Green,"June 2, 2014",Getting started with HR Analytics: An HR Director's Tale - Part 1,https://www.linkedin.com/pulse/20140602143409-12091643-getting-started-with-hr-analytics-an-hr-director-s-tale-part-1/
